data_freq,horizon,best_model,MSE,R2,Corr
10min,1d,HAR-RBV-IV,9.968865776250336e-05,0.3218090364602806,0.49246307937106454
10min,5d,HAR-RBV-IV,4.203749479645387e-05,0.42861436463667724,0.5676694504406222
10min,22d,HAR-RV-IV,2.124921265930916e-05,0.3286011136851308,0.5550069131334677
30min,1d,HAR-CJ-RBV-IV,0.00013151484278505995,0.21715796745841676,0.4038618159025996
30min,5d,HAR-RV-IV-Full,3.9921156891365865e-05,0.37368223457457406,0.5232925862679522
30min,22d,HAR-RV-IV,1.752212108991491e-05,0.33231437564147914,0.551852821756273
