,Mean,Std Dev,Skewness,Kurtosis
RV,0.024744928072007667,0.009867885318029328,2.1139145910754062,11.171486072661656
RBV,0.023236865140649893,0.00908605498137598,1.829862674740896,9.291625697287266
C,0.023236865140649893,0.00908605498137598,1.829862674740896,9.291625697287266
J,0.007111497391485555,0.007243515883828809,1.9904016340995785,11.517896214947324
Ln(RV),-3.764466216400818,0.3533789270768275,0.32058753643219245,3.8637794764844613
Ln(RBV),-3.8276396224038205,0.357504164465564,0.1723063077183359,3.658380589058791
Ln(C),-3.8276396224038205,0.357504164465564,0.1723063077183359,3.658380589058791
Ln(J),0.007111497391485555,0.007243515883828809,1.9904016340995785,11.517896214947324
