model,model_short,data_freq,horizon,n_features,Train_Size,Test_Size,Train_Start,Train_End,Test_Start,Test_End,R2_InSample,MSE_InSample,RMSE_InSample,MAE_InSample,MAPE_InSample,DirAcc_InSample,R2_OutSample,MSE_OutSample,RMSE_OutSample,MAE_OutSample,MAPE_OutSample,Correlation_OutSample,DirAcc_OutSample,features,coefficients,intercept,target_col
10min_HAR-RBV-IV-Full,HAR-RBV-IV-Full,10min,22d,6,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.3949018107398812,1.4535517955686786e-05,0.0038125474365162705,0.0027916142605338857,11.592007977129592,0.44082125603864736,0.3107712452723451,2.1732222227289462e-05,0.004661783159617086,0.003954380543139203,16.71768723620855,0.5404745433478596,0.47342995169082125,"['RBV_d', 'RBV_w', 'RBV_m', 'IV_d', 'IV_w', 'IV_m']","{'RBV_d': 0.04192108202633126, 'RBV_w': 0.09664881105933895, 'RBV_m': 0.1893845213424163, 'IV_d': 0.10592273261199345, 'IV_w': 0.05955052622381589, 'IV_m': 0.07270303117969913}",-2.310729125022795,y_22d
10min_HAR-CJ-RBV-IV,HAR-CJ-RBV-IV,10min,22d,6,829,208,2021-08-19,2025-01-09,2025-01-10,2025-11-14,0.3995379269746395,1.4526112110952266e-05,0.0038113136988382713,0.002807727425659383,11.642142208559893,0.45410628019323673,0.28521063053213336,2.2904990679169605e-05,0.00478591586628616,0.004026361594183952,16.90018439429949,0.5076056537086837,0.4830917874396135,"['C_RBV_d', 'C_RBV_w', 'C_RBV_m', 'J_RBV_d', 'J_RBV_w', 'IV_d']","{'C_RBV_d': 0.03480029636874299, 'C_RBV_w': 0.0405857406086102, 'C_RBV_m': 0.2600906772634935, 'J_RBV_d': 0.5893201089034105, 'J_RBV_w': 5.643506675274323, 'IV_d': 0.18172874692501728}",-2.3715300307704883,y_22d
30min_HAR-RV,HAR-RV,30min,1d,3,908,228,2021-03-23,2024-12-09,2024-12-10,2025-11-14,0.23261420034417857,8.683985572328424e-05,0.009318790464608819,0.006341909088170536,31.613530062464037,0.4762954796030871,0.1905656976486948,0.00013684721879414055,0.011698171600474176,0.007781194598420276,33.93163723390562,0.36261349434325907,0.5022026431718062,"['RV_d', 'RV_w', 'RV_m']","{'RV_d': 0.15611637542134205, 'RV_w': 0.2750615358334007, 'RV_m': 0.3301901248233038}",-0.9324363581440225,y_1d
30min_HAR-RBV,HAR-RBV,30min,1d,3,908,228,2021-03-23,2024-12-09,2024-12-10,2025-11-14,0.22158248649043966,8.860515608459876e-05,0.009413031184724651,0.006398898288853272,31.873722021611044,0.4961411245865491,0.1738669453096634,0.0001392201153619367,0.011799157400506898,0.007805471965852229,33.784644873052365,0.3547315174210081,0.4845814977973568,"['RBV_d', 'RBV_w', 'RBV_m']","{'RBV_d': 0.15446232189018727, 'RBV_w': 0.23268753113047325, 'RBV_m': 0.3658585879882187}",-0.8763080186699135,y_1d
30min_HAR-TRBV,HAR-TRBV,30min,1d,3,908,228,2021-03-23,2024-12-09,2024-12-10,2025-11-14,0.22158248649043966,8.860515608459876e-05,0.009413031184724651,0.006398898288853272,31.873722021611044,0.4961411245865491,0.1738669453096634,0.0001392201153619367,0.011799157400506898,0.007805471965852229,33.784644873052365,0.3547315174210081,0.4845814977973568,"['TRBV_d', 'TRBV_w', 'TRBV_m']","{'TRBV_d': 0.15446232189018727, 'TRBV_w': 0.23268753113047325, 'TRBV_m': 0.3658585879882187}",-0.8763080186699135,y_1d
30min_HAR-CJ-RBV,HAR-CJ-RBV,30min,1d,5,908,228,2021-03-23,2024-12-09,2024-12-10,2025-11-14,0.23436431592638962,8.558143217714554e-05,0.00925102330432399,0.006323515570362274,31.565685944536543,0.49503858875413453,0.1960155776152015,0.000136008820198148,0.011662281946435182,0.007728916040716402,33.537123591054815,0.3763212128367991,0.5066079295154186,"['C_RBV_d', 'C_RBV_w', 'C_RBV_m', 'J_RBV_d', 'J_RBV_w']","{'C_RBV_d': 0.15113597141409013, 'C_RBV_w': 0.1693252614270842, 'C_RBV_m': 0.3296983771330062, 'J_RBV_d': 1.6374627482871276, 'J_RBV_w': 9.731016559076423}",-1.382724636892668,y_1d
30min_HAR-TCJ-RBV,HAR-TCJ-RBV,30min,1d,5,908,228,2021-03-23,2024-12-09,2024-12-10,2025-11-14,0.23436431592638962,8.558143217714554e-05,0.00925102330432399,0.006323515570362274,31.565685944536543,0.49503858875413453,0.1960155776152015,0.000136008820198148,0.011662281946435182,0.007728916040716402,33.537123591054815,0.3763212128367991,0.5066079295154186,"['C_TRBV_d', 'C_TRBV_w', 'C_TRBV_m', 'J_TRBV_d', 'J_TRBV_w']","{'C_TRBV_d': 0.15113597141409013, 'C_TRBV_w': 0.1693252614270842, 'C_TRBV_m': 0.3296983771330062, 'J_TRBV_d': 1.6374627482871276, 'J_TRBV_w': 9.731016559076423}",-1.382724636892668,y_1d
30min_HAR-RV-IV,HAR-RV-IV,30min,1d,4,908,228,2021-03-23,2024-12-09,2024-12-10,2025-11-14,0.2433742242886272,8.533241098635174e-05,0.009237554383404286,0.006314205915148737,31.486722681159506,0.4564498346196251,0.2108989010952007,0.00013250076885797533,0.0115108978302292,0.007725492369912937,34.10849111285075,0.39190615605288387,0.44933920704845814,"['RV_d', 'RV_w', 'RV_m', 'IV_d']","{'RV_d': 0.1454977617057757, 'RV_w': 0.24471069632176917, 'RV_m': 0.2552432673065672, 'IV_d': 0.1724834718767746}",-1.2460206777097436,y_1d
30min_HAR-RBV-IV,HAR-RBV-IV,30min,1d,4,908,228,2021-03-23,2024-12-09,2024-12-10,2025-11-14,0.23527117205479542,8.672467771805854e-05,0.009312608534565303,0.006367932080060735,31.733281440308602,0.4906284454244763,0.20174364707732428,0.00013383104060423596,0.011568536666503502,0.007736691871300217,33.95791088351352,0.38835770595194574,0.4713656387665198,"['RBV_d', 'RBV_w', 'RBV_m', 'IV_d']","{'RBV_d': 0.14432164239088377, 'RBV_w': 0.19532639455743178, 'RBV_m': 0.28728716813048577, 'IV_d': 0.192371719553452}",-1.2283583623597552,y_1d
30min_HAR-RV-IV-Full,HAR-RV-IV-Full,30min,1d,6,908,228,2021-03-23,2024-12-09,2024-12-10,2025-11-14,0.24457974938940286,8.545114545835e-05,0.00924397887591431,0.006311849446755138,31.46163809099563,0.46306504961411243,0.21597163767244776,0.0001323111498972441,0.011502658383923435,0.007728334712117096,34.01915465198766,0.39344983347827617,0.4581497797356828,"['RV_d', 'RV_w', 'RV_m', 'IV_d', 'IV_w', 'IV_m']","{'RV_d': 0.14705838323199916, 'RV_w': 0.2198881940014738, 'RV_m': 0.29417759361512735, 'IV_d': 0.1215010457287439, 'IV_w': 0.15351743646397492, 'IV_m': -0.1253973361807378}",-1.2033562652319838,y_1d
30min_HAR-RBV-IV-Full,HAR-RBV-IV-Full,30min,1d,6,908,228,2021-03-23,2024-12-09,2024-12-10,2025-11-14,0.23643265946699865,8.678156679623018e-05,0.009315662445378223,0.006364999196203899,31.71285119944798,0.48732083792723263,0.20603710091938865,0.0001336872964270498,0.011562322276560613,0.007742818411116001,33.910819197396684,0.3893763852808875,0.4845814977973568,"['RBV_d', 'RBV_w', 'RBV_m', 'IV_d', 'IV_w', 'IV_m']","{'RBV_d': 0.1472109176882261, 'RBV_w': 0.17188656715098805, 'RBV_m': 0.3111588789858853, 'IV_d': 0.11601590765624098, 'IV_w': 0.16853945116203958, 'IV_m': -0.0990218304780245}",-1.2206169745429958,y_1d
30min_HAR-CJ-RBV-IV,HAR-CJ-RBV-IV,30min,1d,6,908,228,2021-03-23,2024-12-09,2024-12-10,2025-11-14,0.24593329847889922,8.409409538802224e-05,0.009170283277414185,0.00629678314232783,31.443654494551332,0.4796030871003308,0.21715796745841676,0.00013151484278505995,0.01146799209910174,0.007674136856318493,33.75209537554702,0.4038618159025996,0.47577092511013214,"['C_RBV_d', 'C_RBV_w', 'C_RBV_m', 'J_RBV_d', 'J_RBV_w', 'IV_d']","{'C_RBV_d': 0.14204509239933424, 'C_RBV_w': 0.14014043764191725, 'C_RBV_m': 0.2602102908461594, 'J_RBV_d': 1.5087887313661548, 'J_RBV_w': 8.91161240040981, 'IV_d': 0.1775261113501726}",-1.6653615728281186,y_1d
30min_HAR-RV,HAR-RV,30min,5d,3,908,228,2021-03-23,2024-12-09,2024-12-10,2025-11-14,0.350419683512988,3.707313567720367e-05,0.0060887712781154514,0.004290176393502229,20.244264899114146,0.4796030871003308,0.3220233260521651,4.2967923262294827e-05,0.006554992239682273,0.004684268891039115,20.796677089981923,0.4804460881038821,0.5022026431718062,"['RV_d', 'RV_w', 'RV_m']","{'RV_d': 0.09828669856504896, 'RV_w': 0.24611520738636072, 'RV_m': 0.3521871417040383}",-1.185184641447842,y_5d
30min_HAR-RBV,HAR-RBV,30min,5d,3,908,228,2021-03-23,2024-12-09,2024-12-10,2025-11-14,0.33330340611120646,3.77375965349425e-05,0.006143093401124754,0.004346691695239335,20.582472422279686,0.4829106945975744,0.30057300048163216,4.4423215204181e-05,0.00666507428347059,0.004760997125488819,20.919128100592452,0.46879539533055614,0.4889867841409692,"['RBV_d', 'RBV_w', 'RBV_m']","{'RBV_d': 0.077632000580243, 'RBV_w': 0.2450349415610812, 'RBV_m': 0.3655739171978236}",-1.1366513865841759,y_5d
30min_HAR-TRBV,HAR-TRBV,30min,5d,3,908,228,2021-03-23,2024-12-09,2024-12-10,2025-11-14,0.33330340611120646,3.77375965349425e-05,0.006143093401124754,0.004346691695239335,20.582472422279686,0.4829106945975744,0.30057300048163216,4.4423215204181e-05,0.00666507428347059,0.004760997125488819,20.919128100592452,0.46879539533055614,0.4889867841409692,"['TRBV_d', 'TRBV_w', 'TRBV_m']","{'TRBV_d': 0.077632000580243, 'TRBV_w': 0.2450349415610812, 'TRBV_m': 0.3655739171978236}",-1.1366513865841759,y_5d
30min_HAR-CJ-RBV,HAR-CJ-RBV,30min,5d,5,908,228,2021-03-23,2024-12-09,2024-12-10,2025-11-14,0.3474843412297025,3.6459229619248086e-05,0.006038147863314386,0.004309668914271694,20.416881033794233,0.49393605292171994,0.3253882406472971,4.297777196300412e-05,0.006555743433280784,0.004676994239236431,20.55504021738411,0.4885382845078484,0.5330396475770925,"['C_RBV_d', 'C_RBV_w', 'C_RBV_m', 'J_RBV_d', 'J_RBV_w']","{'C_RBV_d': 0.0732791710557383, 'C_RBV_w': 0.20321899141833166, 'C_RBV_m': 0.3415363097419364, 'J_RBV_d': 2.7255318840281446, 'J_RBV_w': 5.1037303154837845}",-1.4829016470426901,y_5d
30min_HAR-TCJ-RBV,HAR-TCJ-RBV,30min,5d,5,908,228,2021-03-23,2024-12-09,2024-12-10,2025-11-14,0.3474843412297025,3.6459229619248086e-05,0.006038147863314386,0.004309668914271694,20.416881033794233,0.49393605292171994,0.3253882406472971,4.297777196300412e-05,0.006555743433280784,0.004676994239236431,20.55504021738411,0.4885382845078484,0.5330396475770925,"['C_TRBV_d', 'C_TRBV_w', 'C_TRBV_m', 'J_TRBV_d', 'J_TRBV_w']","{'C_TRBV_d': 0.0732791710557383, 'C_TRBV_w': 0.20321899141833166, 'C_TRBV_m': 0.3415363097419364, 'J_TRBV_d': 2.7255318840281446, 'J_TRBV_w': 5.1037303154837845}",-1.4829016470426901,y_5d
30min_HAR-RV-IV,HAR-RV-IV,30min,5d,4,908,228,2021-03-23,2024-12-09,2024-12-10,2025-11-14,0.3774280219670335,3.538061714851139e-05,0.005948160820666451,0.00425307516947652,20.148665969308098,0.4696802646085998,0.36346750926438864,4.024348552659524e-05,0.006343775337020948,0.0045903879916653,20.637191281101288,0.5176719566602475,0.4889867841409692,"['RV_d', 'RV_w', 'RV_m', 'IV_d']","{'RV_d': 0.08612773142211896, 'RV_w': 0.21136162558487925, 'RV_m': 0.26636837077766384, 'IV_d': 0.19750420567364163}",-1.5442580139492055,y_5d
30min_HAR-RBV-IV,HAR-RBV-IV,30min,5d,4,908,228,2021-03-23,2024-12-09,2024-12-10,2025-11-14,0.3658688528090419,3.575152343437832e-05,0.005979257766176193,0.004302014766592935,20.43938364767493,0.4652701212789416,0.3553318703218149,4.0948950093616826e-05,0.006399136667833937,0.004645660256602663,20.713756657443135,0.5119260096354123,0.47577092511013214,"['RBV_d', 'RBV_w', 'RBV_m', 'IV_d']","{'RBV_d': 0.06632750337814043, 'RBV_w': 0.20338597081051923, 'RBV_m': 0.27798507307668135, 'IV_d': 0.2144496890573253}",-1.5291055732601642,y_5d
30min_HAR-RV-IV-Full,HAR-RV-IV-Full,30min,5d,6,908,228,2021-03-23,2024-12-09,2024-12-10,2025-11-14,0.38427397930303364,3.541175813761835e-05,0.005950777943900977,0.004262234558877249,20.14416632155523,0.474090407938258,0.37368223457457406,3.9921156891365865e-05,0.006318319150799986,0.00457210324893605,20.489629531356723,0.5232925862679522,0.4845814977973568,"['RV_d', 'RV_w', 'RV_m', 'IV_d', 'IV_w', 'IV_m']","{'RV_d': 0.08994209890396274, 'RV_w': 0.1699357086144489, 'RV_m': 0.31934103983645146, 'IV_d': 0.07954757728817004, 'IV_w': 0.286726907011436, 'IV_m': -0.19253972240759212}",-1.503609681975759,y_5d
30min_HAR-RBV-IV-Full,HAR-RBV-IV-Full,30min,5d,6,908,228,2021-03-23,2024-12-09,2024-12-10,2025-11-14,0.3721269787900642,3.576618943829516e-05,0.005980484047156648,0.004309850811548834,20.43348798696147,0.4663726571113561,0.36243818527607075,4.0659778722058284e-05,0.0063765020757511155,0.004638689649676222,20.66416367020867,0.5168019491876712,0.4669603524229075,"['RBV_d', 'RBV_w', 'RBV_m', 'IV_d', 'IV_w', 'IV_m']","{'RBV_d': 0.07132482319755053, 'RBV_w': 0.16467011561571543, 'RBV_m': 0.3154663099352897, 'IV_d': 0.08249576474076012, 'IV_w': 0.2839843060444327, 'IV_m': -0.160992647434352}",-1.5213691596485872,y_5d
30min_HAR-CJ-RBV-IV,HAR-CJ-RBV-IV,30min,5d,6,908,228,2021-03-23,2024-12-09,2024-12-10,2025-11-14,0.3767928948521595,3.4696582455749025e-05,0.005890380501779917,0.004267215244827976,20.27968208086347,0.4884233737596472,0.3696418929403267,4.0105350205770724e-05,0.0063328785086855036,0.004577669393274032,20.413868422188926,0.5239958339987532,0.4933920704845815,"['C_RBV_d', 'C_RBV_w', 'C_RBV_m', 'J_RBV_d', 'J_RBV_w', 'IV_d']","{'C_RBV_d': 0.06282133002050161, 'C_RBV_w': 0.16964575308887359, 'C_RBV_m': 0.26159955565565796, 'J_RBV_d': 2.577509628739, 'J_RBV_w': 4.161115369114125, 'IV_d': 0.20422005936833737}",-1.808037658852069,y_5d
30min_HAR-RV,HAR-RV,30min,22d,3,908,228,2021-03-23,2024-12-09,2024-12-10,2025-11-14,0.35367206972327425,1.9597072013354456e-05,0.0044268580295006585,0.003240939968362642,15.56583086823376,0.4410143329658214,0.31023532010819554,1.8444199464410146e-05,0.004294671054272975,0.003417828053177657,16.80151950021046,0.5292075376280434,0.4977973568281938,"['RV_d', 'RV_w', 'RV_m']","{'RV_d': 0.056935577432952945, 'RV_w': 0.16629234078143335, 'RV_m': 0.3408250504179242}",-1.695980125468259,y_22d
30min_HAR-RBV,HAR-RBV,30min,22d,3,908,228,2021-03-23,2024-12-09,2024-12-10,2025-11-14,0.33099706269568674,1.9960395148358267e-05,0.004467705803693689,0.003293649486567087,15.890128618012811,0.4564498346196251,0.2708558924267208,1.9630959877371326e-05,0.004430683906280308,0.003514997370326824,17.12579916112954,0.5026726015990998,0.4933920704845815,"['RBV_d', 'RBV_w', 'RBV_m']","{'RBV_d': 0.04862162568629142, 'RBV_w': 0.16512141030752675, 'RBV_m': 0.33596438328035144}",-1.6873059630377574,y_22d
