Date,Ticker,Strike,Type,Last_Price,Amount_Money,Open,High,Low,Prev_Close,Volume_Units,Implied_Volatility,VE_Pct,Parity,Return,Original_Strike
2021-06-18,GFGC102.AG,102.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,59.650000000000006,0.0,102.0
2021-06-18,GFGC10998G,109.98,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,51.67,0.0,109.98
2021-06-18,GFGC11298G,112.98,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,48.67,0.0,112.98
2021-06-18,GFGC117.AG,117.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,44.650000000000006,0.0,117.0
2021-06-18,GFGC11898G,118.98,Call,48.21,323860.0,48.0,52.79,48.0,56.9,67.0,3.814697265625e-05,0.034271574389112276,42.67,-0.15272407732864668,118.98
2021-06-18,GFGC123.AG,123.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,38.650000000000006,0.0,123.0
2021-06-18,GFGC12498G,124.98,Call,42.102,612773.0,43.0,48.0,42.0,47.0,141.0,3.814697265625e-05,0.03360346427466746,36.67,-0.10421276595744688,124.98
2021-06-18,GFGC12798G,127.98,Call,39.5,337145.0,42.8,42.8,39.5,45.5,80.0,3.814697265625e-05,0.03606557377049179,33.67,-0.13186813186813184,127.98
2021-06-18,GFGC13098G,130.98,Call,40.9,216340.0,38.0,40.9,35.1,41.0,59.0,0.5926132202148438,0.06328487472935343,30.670000000000016,-0.0024390243902439046,130.98
2021-06-18,GFGC13398G,133.98,Call,0.0,0.0,0.0,0.0,0.0,34.367,0.0,,,27.670000000000016,0.0,133.98
2021-06-18,GFGC13898G,138.98,Call,30.448,970010.0,32.0,32.0,30.2,33.0,311.0,3.814697265625e-05,0.0481163006495514,22.670000000000016,-0.07733333333333337,138.98
2021-06-18,GFGC145.AG,145.0,Call,0.0,0.0,0.0,0.0,0.0,27.5,0.0,,,16.650000000000006,0.0,145.0
2021-06-18,GFGC14898G,148.98,Call,23.661,1372199.0,23.0,24.5,22.5,25.422,583.0,0.36014556884765625,0.06799257655428385,12.670000000000016,-0.06927071040830768,148.98
2021-06-18,GFGC155.AG,155.0,Call,18.576,1313320.0,17.5,19.6,17.5,19.0,699.0,0.32352447509765625,0.07377667800804204,6.650000000000006,-0.022315789473684178,155.0
2021-06-18,GFGC15898G,158.98,Call,15.941,8259966.0,15.0,17.998,14.0,17.706,5103.0,0.32787322998046875,0.08209712341478494,2.670000000000016,-0.09968372303174056,158.98
2021-06-18,GFGC165.AG,165.0,Call,12.911,3849337.0,10.5,14.5,10.5,14.315,2899.0,0.35259246826171875,0.07987008969996906,3.3499999999999943,-0.09807893817673774,165.0
