Date,Last_Price,Open,High,Low,Prev_Close,Amount_Money,Volume_Units,Num_Trades,Time,Volume_Calls,Volume_Put,IV_Call_Avg,IV_Put_Avg,Risk_Free_Rate,Days_To_Expiry,Years_To_Expiry,Simple_Return,Log_Return,Dividend,Adj_Price
2021-02-19,126.5,128.05,130.5,125.05,128.65,239143393.0,1870425.0,1898.0,0.7082523148148149,46035212.0,6025441.0,0.34,0.43,0.3525,56.0,0.15342465753424658,,,0.0,96.23379790625806
2021-02-22,120.05,125.85,125.85,114.9,126.5,204380624.0,1686519.0,2528.0,0.7082291666666666,52083385.0,11432360.0,0.41,0.39,0.352,53.0,0.14520547945205478,-0.05098814229249016,-0.05233398550031274,0.0,91.32701532526703
2021-02-23,113.9,118.5,118.5,113.0,120.05,296428021.0,2579880.0,3034.0,0.708275462962963,55737066.0,20447891.0,0.51,0.37,0.31,52.0,0.14246575342465753,-0.051228654727196954,-0.052587452214125724,0.0,86.6484551899035
2021-02-24,118.2,115.05,120.4,114.5,113.9,172731220.0,1341077.0,1868.0,0.7082986111111111,52156289.0,9373360.0,0.42,0.43,0.35,51.0,0.13972602739726028,0.037752414398595224,0.03705723451886134,0.0,89.91964357723086
2021-02-25,115.4,118.3,121.0,114.5,118.2,170365416.0,1455142.0,2171.0,0.7082407407407407,51007536.0,13950645.0,0.41,0.43,0.35,50.0,0.136986301369863,-0.02368866328257191,-0.023973750897998632,0.0,87.78956741804095
2021-02-26,112.65,115.45,116.2,111.6,115.4,318377389.0,2822014.0,3021.0,0.7083101851851853,44037124.0,21605407.0,0.43,0.41,0.3524,49.0,0.13424657534246576,-0.023830155979202794,-0.024118687195745767,0.0,85.69752833312229
2021-03-01,115.3,114.2,116.95,114.0,112.65,113499207.0,983247.0,1544.0,0.7076851851851852,32197079.0,6876024.0,0.43,0.42,0.33,46.0,0.12602739726027398,0.023524189968930243,0.02325176039675983,0.0,87.71349326949844
2021-03-02,114.85,115.0,115.45,113.05,115.3,112414958.0,982690.0,1860.0,0.7082638888888889,33526663.0,10329949.0,0.39,0.41,0.33,45.0,0.1232876712328767,-0.0039028620988725837,-0.003910498139906162,0.0,87.37115960105722
2021-03-03,112.35,116.0,116.45,111.1,114.85,109830619.0,969323.0,1660.0,0.7082986111111111,31400554.0,9974731.0,0.4,0.41,0.352,44.0,0.12054794520547946,-0.021767522855899002,-0.022007930503769084,0.0,85.4693058874948
2021-03-04,113.45,112.4,115.95,110.5,112.35,185551589.0,1644020.0,2765.0,0.7083101851851853,50853988.0,12589614.0,0.4,0.42,0.3495,43.0,0.1178082191780822,0.009790832220738732,0.009743212594512527,0.0,86.30612152146227
