Date,Ticker,Strike,Type,Last_Price,Amount_Money,Open,High,Low,Prev_Close,Volume_Units,Implied_Volatility,VE_Pct,Return,Original_Strike
2023-04-21,GFGC20729J,207.29,Call,0.0,0.0,0.0,0.0,0.0,351.286,0.0,,,0.0,207.29
2023-04-21,GFGC220.JU,220.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,220.0
2023-04-21,GFGC230.JU,230.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,230.0
2023-04-21,GFGC240.JU,240.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,240.0
2023-04-21,GFGC24729J,247.29,Call,0.0,0.0,0.0,0.0,0.0,320.0,0.0,,,0.0,247.29
2023-04-21,GFGC260.JU,260.0,Call,0.0,0.0,0.0,0.0,0.0,274.385,0.0,,,0.0,260.0
2023-04-21,GFGC270.JU,270.0,Call,0.0,0.0,0.0,0.0,0.0,268.906,0.0,,,0.0,270.0
2023-04-21,GFGC280.JU,280.0,Call,0.0,0.0,0.0,0.0,0.0,260.478,0.0,,,0.0,280.0
2023-04-21,GFGC290.JU,290.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,290.0
2023-04-21,GFGC29729J,297.29,Call,0.0,0.0,0.0,0.0,0.0,244.127,0.0,,,0.0,297.29
2023-04-21,GFGC310.JU,310.0,Call,0.0,0.0,0.0,0.0,0.0,232.671,0.0,,,0.0,310.0
2023-04-21,GFGC320.JU,320.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,320.0
2023-04-21,GFGC330.JU,330.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,330.0
2023-04-21,GFGC340.JU,340.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,340.0
2023-04-21,GFGC350.JU,350.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,350.0
2023-04-21,GFGC35729J,357.29,Call,210.0,189000.0,210.0,210.0,210.0,135.0,9.0,3.814697265625e-05,0.07025752287520058,0.5555555555555556,357.29
2023-04-21,GFGC370.JU,370.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,370.0
2023-04-21,GFGC380.JU,380.0,Call,190.0,19000.0,190.0,190.0,190.0,189.0,1.0,0.47039031982421875,0.07537024808980294,0.005291005291005346,380.0
2023-04-21,GFGC38729J,387.29,Call,184.9,14056480.0,177.0,184.9,177.0,150.0,781.0,0.6164169311523438,0.07950193377983224,0.2326666666666668,387.29
2023-04-21,GFGC39729J,397.29,Call,0.0,0.0,0.0,0.0,0.0,110.1,0.0,,,0.0,397.29
2023-04-21,GFGC420.JU,420.0,Call,155.0,426070.0,161.9,161.9,150.0,147.09,28.0,0.47252655029296875,0.08480332044146788,0.05377659936093537,420.0
2023-04-21,GFGC440.JU,440.0,Call,138.738,20447825.0,115.0,150.0,115.0,130.0,1469.0,0.5063247680664062,0.09185548533157259,0.06721538461538468,440.0
2023-04-21,GFGC460.JU,460.0,Call,123.0,24437152.0,120.5,127.0,119.0,116.0,1980.0,0.5177688598632812,0.09989623620413178,0.06034482758620685,460.0
2023-04-21,GFGC480.JU,480.0,Call,109.89,10867723.0,110.0,120.0,102.0,109.999,999.0,0.5640792846679688,0.11289500990472606,-0.0009909180992554445,480.0
2023-04-21,GFGC500.JU,500.0,Call,93.789,13223939.0,90.0,99.85,86.0,87.411,1405.0,0.5228042602539062,0.12025091972455439,0.07296564505611425,500.0
2023-04-21,GFGC520.JU,520.0,Call,80.51,14899560.0,83.901,90.0,76.0,74.502,1856.0,0.5206680297851562,0.13293085557966242,0.0806421304126066,520.0
2023-04-21,GFGC540.JU,540.0,Call,67.987,28372469.0,65.0,74.999,64.9,61.274,4146.0,0.5132675170898438,0.12826525799452881,0.10955707151483485,540.0
2023-04-21,GFGC560.JU,560.0,Call,57.047,52275392.0,55.5,64.0,54.501,50.159,8968.0,0.5118179321289062,0.10762569568908593,0.13732331186825886,560.0
2023-04-21,GFGC580.JU,580.0,Call,48.673,37118056.0,41.2,55.0,41.2,40.735,7669.0,0.5266952514648438,0.09182718611451751,0.1948692770344913,580.0
2023-04-21,GFGC600.JU,600.0,Call,40.4,74213704.0,32.0,43.0,32.0,32.342,18735.0,0.5274581909179688,0.0762192246014527,0.24914971244820983,600.0
2023-04-21,GFGC620.JU,620.0,Call,33.747,10744882.0,27.0,35.0,25.0,24.342,3300.0,0.5340957641601562,0.06366757853032733,0.38636923835346315,620.0
2023-04-21,GFGC640.JU,640.0,Call,27.54,15285404.0,20.0,28.69,20.0,20.492,5797.0,0.5334854125976562,0.05195736251297048,0.3439390981846573,640.0
2023-04-21,GFGC660.JU,660.0,Call,21.901,3080772.0,22.0,23.0,19.461,16.958,1426.0,0.5277633666992188,0.04131874351476276,0.2914848449109566,660.0
2023-04-21,GFGC680.JU,680.0,Call,18.416,4300986.0,12.5,19.0,12.5,12.976,2451.0,0.5396652221679688,0.0347438920856523,0.41923551171393325,680.0
2023-04-21,GFGC700.JU,700.0,Call,14.839,11276826.0,10.0,15.501,10.0,10.712,7930.0,0.5405807495117188,0.027995472125271204,0.38526885735623617,700.0
2023-04-21,GFGC720.JU,720.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,720.0
2023-04-21,GFGC740.JU,740.0,Call,9.177,822667.0,8.5,10.0,7.5,7.298,918.0,0.5366134643554688,0.017313460994245827,0.2574677993970951,740.0
2023-04-21,GFGC770.JU,770.0,Call,5.816,127684.0,8.0,8.0,4.035,5.716,207.0,0.5229568481445312,0.010972549759456655,0.017494751574527623,770.0
2023-04-21,GFGC780.JU,780.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,780.0
2023-04-21,GFGC800.JU,800.0,Call,4.15,3107384.0,4.3,5.0,3.799,3.926,7393.0,0.5292892456054688,0.0078294500518819,0.05705552725420282,800.0
2023-04-21,GFGC830.JU,830.0,Call,2.995,1562029.0,2.9,3.599,2.55,2.846,5428.0,0.5365371704101562,0.005650410338647298,0.05235418130709779,830.0
2023-04-21,GFGC860.JU,860.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,860.0
2023-04-21,GFGC890.JU,890.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,890.0
2023-04-21,GFGC920.JU,920.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,920.0
2023-04-21,GFGC950.JU,950.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,950.0
2023-04-21,GFGC980.JU,980.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,980.0
2023-04-21,GFGC990.JU,990.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,990.0
2023-04-21,GFGV20729J,207.29,Put,0.201,13419.0,0.001,0.25,0.001,0.06,666.0,1.0414505004882812,0.00037920950853693054,2.3500000000000005,207.29
2023-04-21,GFGV220.JU,220.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,220.0
2023-04-21,GFGV230.JU,230.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,230.0
2023-04-21,GFGV240.JU,240.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,240.0
2023-04-21,GFGV24729J,247.29,Put,0.2,48753.0,0.25,0.3,0.15,0.217,2092.0,0.8745956420898438,0.00037732289406659753,-0.07834101382488479,247.29
2023-04-21,GFGV260.JU,260.0,Put,0.266,11311.0,0.3,0.3,0.175,0.288,408.0,0.8549118041992188,0.0005018394491085748,-0.07638888888888873,260.0
2023-04-21,GFGV270.JU,270.0,Put,0.268,15129.0,0.2,0.32,0.15,0.282,551.0,0.8189773559570312,0.0005056126780492407,-0.049645390070921835,270.0
2023-04-21,GFGV280.JU,280.0,Put,0.292,11191.0,0.451,0.481,0.2,0.35,426.0,0.7918167114257812,0.0005508914253372323,-0.1657142857142857,280.0
2023-04-21,GFGV290.JU,290.0,Put,0.316,6440.0,0.4,0.4,0.2,0.334,200.0,0.7647323608398438,0.000596170172625224,-0.05389221556886237,290.0
2023-04-21,GFGV29729J,297.29,Put,0.282,4015.0,0.45,0.45,0.25,0.356,119.0,0.7299423217773438,0.0005320252806339025,-0.2078651685393259,297.29
2023-04-21,GFGV310.JU,310.0,Put,0.4,5565.0,0.383,0.45,0.3,0.495,160.0,0.7199478149414062,0.0007546457881331951,-0.19191919191919182,310.0
2023-04-21,GFGV320.JU,320.0,Put,0.359,6086.0,0.5,0.5,0.25,0.5,166.0,0.6780624389648438,0.0006772945948495425,-0.28200000000000003,320.0
2023-04-21,GFGV330.JU,330.0,Put,0.415,16788.0,0.6,0.6,0.25,0.5,414.0,0.6594467163085938,0.0007829450051881898,-0.17000000000000004,330.0
2023-04-21,GFGV340.JU,340.0,Put,0.447,4402.0,0.65,0.65,0.3,0.512,94.0,0.6351089477539062,0.0008433166682388454,-0.126953125,340.0
2023-04-21,GFGV350.JU,350.0,Put,0.4,1115.0,0.5,0.5,0.35,0.55,23.0,0.5961227416992188,0.0007546457881331951,-0.2727272727272727,350.0
2023-04-21,GFGV35729J,357.29,Put,0.597,16528.0,0.75,0.8,0.4,0.657,288.0,0.6080245971679688,0.0011263088387887935,-0.09132420091324212,357.29
2023-04-21,GFGV370.JU,370.0,Put,0.654,114615.0,0.76,1.0,0.5,0.85,1740.0,0.5781936645507812,0.001233845863597774,-0.23058823529411765,370.0
2023-04-21,GFGV380.JU,380.0,Put,0.818,37393.0,0.6,0.9,0.6,0.957,473.0,0.5683517456054688,0.0015432506367323837,-0.14524555903866254,380.0
2023-04-21,GFGV38729J,387.29,Put,0.865,36289.0,0.65,1.1,0.65,1.1,402.0,0.5518722534179688,0.0016319215168380343,-0.21363636363636374,387.29
2023-04-21,GFGV39729J,397.29,Put,1.075,90437.0,1.75,1.75,0.9,1.495,877.0,0.5421829223632812,0.0020281105556079616,-0.28093645484949836,397.29
2023-04-21,GFGV420.JU,420.0,Put,1.753,877508.0,1.4,2.399,1.4,2.699,4839.0,0.5220413208007812,0.003307235166493727,-0.35050018525379767,420.0
2023-04-21,GFGV440.JU,440.0,Put,2.833,866827.0,4.175,4.5,2.8,4.675,2903.0,0.5131912231445312,0.005344778794453354,-0.3940106951871657,440.0
2023-04-21,GFGV460.JU,460.0,Put,4.986,1911566.0,7.5,7.5,4.9,7.647,3566.0,0.5220413208007812,0.009406659749080276,-0.3479795998430758,460.0
2023-04-21,GFGV480.JU,480.0,Put,8.442,4003119.0,11.0,11.0,7.801,11.63,4548.0,0.5382156372070312,0.015926799358551083,-0.2741186586414446,480.0
2023-04-21,GFGV500.JU,500.0,Put,13.02,10591455.0,16.0,17.0,11.673,17.384,7910.0,0.5514907836914062,0.024563720403735497,-0.2510354348826508,500.0
2023-04-21,GFGV520.JU,520.0,Put,19.568,3058629.0,21.0,21.8,18.086,23.001,1556.0,0.5749893188476562,0.0369172719554759,-0.14925438024433724,520.0
2023-04-21,GFGV540.JU,540.0,Put,27.404,605357.0,31.5,32.0,23.015,31.0,210.0,0.5958938598632812,0.03292896896519188,-0.11599999999999999,540.0
2023-04-21,GFGV560.JU,560.0,Put,41.159,1729979.0,40.0,43.0,37.0,0.0,427.0,0.6755447387695312,0.02114706159796237,0.0,560.0
2023-04-21,GFGV580.JU,580.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,580.0
2023-04-21,GFGV600.JU,600.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,600.0
2023-04-21,GFGV620.JU,620.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,620.0
2023-04-21,GFGV640.JU,640.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,640.0
2023-04-21,GFGV660.JU,660.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,660.0
2023-04-21,GFGV680.JU,680.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,680.0
2023-04-21,GFGV700.JU,700.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,700.0
2023-04-21,GFGV720.JU,720.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,720.0
2023-04-21,GFGV740.JU,740.0,Put,0.0,0.0,0.0,0.0,0.0,229.337,0.0,,,0.0,740.0
2023-04-21,GFGV770.JU,770.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,770.0
2023-04-21,GFGV780.JU,780.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,780.0
2023-04-21,GFGV800.JU,800.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,800.0
2023-04-21,GFGV830.JU,830.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,830.0
2023-04-21,GFGV860.JU,860.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,860.0
2023-04-21,GFGV890.JU,890.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,890.0
2023-04-21,GFGV920.JU,920.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,920.0
2023-04-21,GFGV950.JU,950.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,950.0
2023-04-21,GFGV980.JU,980.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,980.0
2023-04-21,GFGV990.JU,990.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,990.0
