Date,Ticker,Strike,Type,Last_Price,Amount_Money,Open,High,Low,Prev_Close,Volume_Units,Implied_Volatility,VE_Pct,Return,Original_Strike
2022-10-21,GFGC132.DI,132.0,Call,0.0,0.0,0.0,0.0,0.0,109.562,0.0,,,0.0,132.0
2022-10-21,GFGC13229D,132.29,Call,115.0,11500.0,115.0,115.0,115.0,110.0,1.0,3.814697265625e-05,0.0355527638190954,0.045454545454545414,132.29
2022-10-21,GFGC140.DI,140.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,140.0
2022-10-21,GFGC145.DI,145.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,145.0
2022-10-21,GFGC150.DI,150.0,Call,0.0,0.0,0.0,0.0,0.0,95.0,0.0,,,0.0,150.0
2022-10-21,GFGC155.DI,155.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,155.0
2022-10-21,GFGC160.DI,160.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,160.0
2022-10-21,GFGC165.DI,165.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,165.0
2022-10-21,GFGC170.DI,170.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,170.0
2022-10-21,GFGC175.DI,175.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,175.0
2022-10-21,GFGC180.DI,180.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,180.0
2022-10-21,GFGC185.DI,185.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,185.0
2022-10-21,GFGC190.DI,190.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,190.0
2022-10-21,GFGC195.DI,195.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,195.0
2022-10-21,GFGC19729D,197.29,Call,58.0,97388.0,53.0,58.99,53.0,52.0,17.0,3.814697265625e-05,0.06905360134003341,0.11538461538461542,197.29
2022-10-21,GFGC20729D,207.29,Call,0.0,0.0,0.0,0.0,0.0,42.243,0.0,,,0.0,207.29
2022-10-21,GFGC21729D,217.29,Call,40.997,1047425.0,36.0,41.0,36.0,36.981,272.0,0.27240753173828125,0.08160385259631482,0.10859630621129757,217.29
2022-10-21,GFGC22729D,227.29,Call,32.606,5801698.0,30.0,33.0,29.0,29.976,1818.0,0.27820587158203125,0.08834170854271349,0.0877368561515881,227.29
2022-10-21,GFGC23729D,237.29,Call,25.41,7425127.0,24.9,25.5,22.0,22.498,3020.0,0.30117034912109375,0.10008375209380226,0.1294337274424393,237.29
2022-10-21,GFGC24729D,247.29,Call,18.99,21551650.0,18.499,19.0,16.85,16.724,11826.0,0.30696868896484375,0.07952261306532662,0.13549390098062664,247.29
2022-10-21,GFGC25729D,257.29,Call,14.002,27518984.0,12.56,14.14,12.01,12.038,20675.0,0.31970977783203125,0.058634840871021776,0.16315002492108333,257.29
2022-10-21,GFGC26729D,267.29,Call,10.264,9510390.0,9.75,10.39,9.0,8.834,9675.0,0.33443450927734375,0.04298157453936348,0.16187457550373563,267.29
2022-10-21,GFGC27729D,277.29,Call,7.535,16804685.0,7.1,7.6,6.6,6.458,23491.0,0.34984588623046875,0.0315536013400335,0.1667698978011769,277.29
2022-10-21,GFGC28729D,287.29,Call,5.372,4587125.0,5.0,5.4,4.5,4.538,9081.0,0.35915374755859375,0.022495812395309882,0.18378140149845734,287.29
2022-10-21,GFGC29729D,297.29,Call,3.697,2793714.0,3.5,3.719,3.211,3.152,7927.0,0.36396026611328125,0.015481574539363484,0.17290609137055823,297.29
2022-10-21,GFGC310.DI,310.0,Call,2.433,225877.0,2.0,2.45,2.0,2.002,975.0,0.37815093994140625,0.010188442211055275,0.21528471528471527,310.0
2022-10-21,GFGC320.DI,320.0,Call,1.8,102822.0,1.4,1.8,1.4,1.6,603.0,0.39112091064453125,0.007537688442211055,0.125,320.0
2022-10-21,GFGC32729D,327.29,Call,1.49,140615.0,1.39,1.546,1.2,1.26,1038.0,0.40264129638671875,0.006239530988274707,0.18253968253968256,327.29
2022-10-21,GFGC33729D,337.29,Call,0.997,36561.0,1.05,1.16,0.901,0.968,350.0,0.40431976318359375,0.004175041876046901,0.029958677685950397,337.29
2022-10-21,GFGC350.DI,350.0,Call,0.757,371417.0,0.79,0.82,0.605,0.677,4691.0,0.42537689208984375,0.0031700167504187604,0.11816838995568668,350.0
2022-10-21,GFGC35729D,357.29,Call,0.687,257392.0,0.55,0.76,0.53,0.592,4094.0,0.44101715087890625,0.002876884422110553,0.16047297297297303,357.29
2022-10-21,GFGV132.DI,132.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,132.0
2022-10-21,GFGV13229D,132.29,Put,0.001,1.0,0.001,0.001,0.001,0.001,12.0,0.47725677490234375,4.1876046901172525e-06,0.0,132.29
2022-10-21,GFGV140.DI,140.0,Put,0.1,6874.0,0.006,0.1,0.006,0.057,792.0,0.6496810913085938,0.0004187604690117253,0.7543859649122808,140.0
2022-10-21,GFGV145.DI,145.0,Put,0.08,811.0,0.013,0.08,0.013,0.03,105.0,0.6003952026367188,0.00033500837520938025,1.666666666666667,145.0
2022-10-21,GFGV150.DI,150.0,Put,0.1,12371.0,0.02,0.15,0.02,0.087,1236.0,0.5836105346679688,0.0004187604690117253,0.149425287356322,150.0
2022-10-21,GFGV155.DI,155.0,Put,0.014,1.0,0.014,0.014,0.014,0.054,1.0,0.45139312744140625,5.862646566164154e-05,-0.7407407407407407,155.0
2022-10-21,GFGV160.DI,160.0,Put,0.0,0.0,0.0,0.0,0.0,0.091,0.0,,,0.0,160.0
2022-10-21,GFGV165.DI,165.0,Put,0.068,529.0,0.052,0.068,0.052,0.11,78.0,0.47000885009765625,0.0002847571189279732,-0.3818181818181817,165.0
2022-10-21,GFGV170.DI,170.0,Put,0.22,246.0,0.08,0.22,0.08,0.141,23.0,0.5139541625976562,0.0009212730318257956,0.5602836879432627,170.0
2022-10-21,GFGV175.DI,175.0,Put,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.47664642333984375,0.0008375209380234506,0.0,175.0
2022-10-21,GFGV180.DI,180.0,Put,0.152,18854.0,0.25,0.25,0.141,0.27,1186.0,0.43025970458984375,0.0006365159128978224,-0.4370370370370371,180.0
2022-10-21,GFGV185.DI,185.0,Put,0.278,12518.0,0.18,0.309,0.15,0.289,515.0,0.43926239013671875,0.0011641541038525964,-0.03806228373702403,185.0
2022-10-21,GFGV190.DI,190.0,Put,0.39,9225.0,0.23,0.39,0.23,0.429,299.0,0.43308258056640625,0.0016331658291457286,-0.09090909090909083,190.0
2022-10-21,GFGV195.DI,195.0,Put,0.35,8624.0,0.6,0.6,0.31,0.571,225.0,0.39546966552734375,0.0014656616415410384,-0.3870402802101576,195.0
2022-10-21,GFGV19729D,197.29,Put,0.521,293146.0,0.7,0.7,0.42,0.673,5455.0,0.40996551513671875,0.002181742043551089,-0.22585438335809804,197.29
2022-10-21,GFGV20729D,207.29,Put,0.981,264099.0,1.14,1.15,0.85,1.05,2771.0,0.39875030517578125,0.0041080402010050246,-0.06571428571428573,207.29
2022-10-21,GFGV21729D,217.29,Put,1.931,594001.0,2.0,2.2,1.7,2.184,3131.0,0.39897918701171875,0.008086264656616415,-0.11584249084249088,217.29
2022-10-21,GFGV22729D,227.29,Put,3.536,3713463.0,4.0,4.3,3.42,4.18,10339.0,0.40256500244140625,0.014807370184254607,-0.1540669856459329,227.29
2022-10-21,GFGV23729D,237.29,Put,6.503,4001760.0,6.9,7.5,6.35,7.74,6000.0,0.42629241943359375,0.027231993299832495,-0.15981912144702848,237.29
2022-10-21,GFGV24729D,247.29,Put,11.602,1103620.0,10.01,14.84,10.01,13.926,910.0,0.48137664794921875,0.013031825795644972,-0.16688209105270713,247.29
