Date,Ticker,Strike,Type,Last_Price,Amount_Money,Open,High,Low,Prev_Close,Volume_Units,Implied_Volatility,VE_Pct,Parity,Return,Original_Strike
2021-04-16,GFGC102.JU,102.0,Call,15.009,2195451.0,14.63,15.8,13.9,15.237,1464.0,0.28011322021484375,0.05413513513513514,9.0,-0.014963575506989568,102.0
2021-04-16,GFGC105.JU,105.0,Call,12.596,1576475.0,11.97,13.5,11.8,12.801,1285.0,0.27828216552734375,0.059423423423423424,6.0,-0.016014373877040855,105.0
2021-04-16,GFGC108.JU,108.0,Call,10.369,1748602.0,9.8,10.8,9.6,10.7,1702.0,0.27698516845703125,0.06638738738738739,3.0,-0.030934579439252263,108.0
2021-04-16,GFGC111.JU,111.0,Call,8.633,6745788.0,8.5,9.2,8.0,8.891,7848.0,0.29277801513671875,0.07777477477477476,0.0,-0.029018108199302728,111.0
2021-04-16,GFGC114.JU,114.0,Call,7.068,6514609.0,6.7,7.5,6.4,7.146,9451.0,0.30170440673828125,0.06367567567567567,3.0,-0.010915197313182246,114.0
2021-04-16,GFGC117.JU,117.0,Call,5.641,3218574.0,5.55,5.9,5.18,5.777,5856.0,0.30437469482421875,0.05081981981981982,6.0,-0.023541630604119845,117.0
2021-04-16,GFGC120.JU,120.0,Call,4.487,6662221.0,4.2,4.65,4.0,4.541,15310.0,0.30933380126953125,0.04042342342342342,9.0,-0.011891653820744419,120.0
2021-04-16,GFGC123.JU,123.0,Call,3.414,1911094.0,3.3,3.5,3.11,3.484,5710.0,0.30696868896484375,0.030756756756756758,12.0,-0.020091848450057403,123.0
2021-04-16,GFGC126.JU,126.0,Call,2.589,1249892.0,2.5,2.7,2.3,2.54,4930.0,0.30757904052734375,0.023324324324324325,15.0,0.019291338582677175,126.0
2021-04-16,GFGC129.JU,129.0,Call,2.068,345058.0,2.1,2.1,1.7,2.1,1790.0,0.31734466552734375,0.01863063063063063,18.0,-0.015238095238095273,129.0
2021-04-16,GFGC132.JU,132.0,Call,1.678,278519.0,1.6,1.69,1.5,1.6,1692.0,0.32833099365234375,0.015117117117117116,21.0,0.04874999999999985,132.0
2021-04-16,GFGC135.JU,135.0,Call,1.301,380338.0,1.15,1.4,1.15,1.299,2975.0,0.33313751220703125,0.01172072072072072,24.0,0.0015396458814471714,135.0
2021-04-16,GFGC140.JU,140.0,Call,0.944,306921.0,0.8,1.0,0.8,0.935,3331.0,0.35121917724609375,0.008504504504504504,29.0,0.009625668449197766,140.0
