Date,Ticker,Strike,Type,Last_Price,Amount_Money,Open,High,Low,Prev_Close,Volume_Units,Implied_Volatility,VE_Pct,Return,Original_Strike
2025-06-19,GFGC10100G,10100.0,Call,8.89,1446092.0,10.06,10.95,8.02,10.0,1577.0,0.49678802490234375,0.0013956043956043958,-0.11099999999999999,10100.0
2025-06-19,GFGC3900AG,3900.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3900.0
2025-06-19,GFGC4200AG,4200.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,4200.0
2025-06-19,GFGC4500AG,4500.0,Call,2126.51,212651.0,2126.51,2126.51,2126.51,2154.97,1.0,0.7288742065429688,0.04026844583987445,-0.013206680371420254,4500.0
2025-06-19,GFGC4800AG,4800.0,Call,0.0,0.0,0.0,0.0,0.0,1729.7,0.0,,,0.0,4800.0
2025-06-19,GFGC5100AG,5100.0,Call,1439.0,143900.0,1439.0,1439.0,1439.0,1592.69,1.0,3.814697265625e-05,0.026530612244897958,-0.09649712122258569,5100.0
2025-06-19,GFGC53452G,5345.2,Call,0.0,0.0,0.0,0.0,0.0,1377.89,0.0,,,0.0,5345.2
2025-06-19,GFGC56452G,5645.2,Call,0.0,0.0,0.0,0.0,0.0,2037.0,0.0,,,0.0,5645.2
2025-06-19,GFGC59452G,5945.2,Call,800.0,2912750.0,800.0,821.0,800.0,1000.0,36.0,0.37769317626953125,0.058901098901098875,-0.19999999999999996,5945.2
2025-06-19,GFGC6200AG,6200.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,6200.0
2025-06-19,GFGC63452G,6345.2,Call,584.0,90945069.0,585.0,605.0,558.333,575.054,1603.0,0.42606353759765625,0.08778649921507062,0.015556799883141403,6345.2
2025-06-19,GFGC65452G,6545.2,Call,475.003,26902738.0,465.001,480.0,456.0,468.955,578.0,0.42148590087890625,0.07456875981161695,0.012896759817039971,6545.2
2025-06-19,GFGC67452G,6745.2,Call,385.0,28866416.0,395.0,395.0,366.0,374.119,767.0,0.42217254638671875,0.06043956043956044,0.029084328783087754,6745.2
2025-06-19,GFGC69452G,6945.2,Call,310.0,40738873.0,296.0,317.0,290.001,298.247,1347.0,0.42438507080078125,0.04866562009419152,0.039406934520715975,6945.2
2025-06-19,GFGC71452G,7145.2,Call,246.337,31126083.0,240.0,247.0,226.0,237.488,1298.0,0.42552947998046875,0.03867142857142857,0.037260830020885205,7145.2
