Date,Ticker,Strike,Type,Last_Price,Amount_Money,Open,High,Low,Prev_Close,Volume_Units,Implied_Volatility,VE_Pct,Return,Original_Strike
2022-08-19,GFGC132.OC,132.0,Call,112.043,1815222.0,108.0,113.0,108.0,112.0,164.0,3.814697265625e-05,0.0334236713952996,0.00038392857142866,132.0
2022-08-19,GFGC135.OC,135.0,Call,106.0,10600.0,106.0,106.0,106.0,108.0,1.0,3.814697265625e-05,0.020537793775142893,-0.01851851851851849,135.0
2022-08-19,GFGC140.OC,140.0,Call,0.0,0.0,0.0,0.0,0.0,80.0,0.0,,,0.0,140.0
2022-08-19,GFGC145.OC,145.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,145.0
2022-08-19,GFGC150.OC,150.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,150.0
2022-08-19,GFGC155.OC,155.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,155.0
2022-08-19,GFGC160.OC,160.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,160.0
2022-08-19,GFGC165.OC,165.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,165.0
2022-08-19,GFGC170.OC,170.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,170.0
2022-08-19,GFGC175.OC,175.0,Call,0.0,0.0,0.0,0.0,0.0,61.58,0.0,,,0.0,175.0
2022-08-19,GFGC180.OC,180.0,Call,70.0,7000.0,70.0,70.0,70.0,59.2,1.0,3.814697265625e-05,0.05864916366716068,0.18243243243243246,180.0
2022-08-19,GFGC18254O,182.54,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,182.54
2022-08-19,GFGC185.OC,185.0,Call,60.281,6028.0,60.281,60.281,60.281,55.5,1.0,3.814697265625e-05,0.03866610205377935,0.08614414414414417,185.0
2022-08-19,GFGC195.OC,195.0,Call,55.0,693192.0,53.0,56.863,53.0,53.966,125.0,3.814697265625e-05,0.05864916366716068,0.019160211985324027,195.0
2022-08-19,GFGC200.OC,200.0,Call,51.087,5723688.0,49.71,52.5,47.6,50.775,1121.0,3.814697265625e-05,0.06325217023078551,0.006144756277695729,200.0
2022-08-19,GFGC210.OC,210.0,Call,42.25,4923203.0,42.136,44.4,38.3,42.438,1147.0,3.814697265625e-05,0.06817700614016513,-0.004429991988312398,210.0
2022-08-19,GFGC220.OC,220.0,Call,33.872,9414034.0,32.799,35.82,30.02,33.993,2820.0,3.814697265625e-05,0.07504552191403766,-0.003559556379254647,220.0
2022-08-19,GFGC230.OC,230.0,Call,26.238,7755815.0,24.24,28.0,24.0,26.32,2936.0,3.814697265625e-05,0.08506457759898367,-0.0031155015197568137,230.0
2022-08-19,GFGC240.OC,240.0,Call,19.808,66085486.0,19.6,21.7,17.5,19.896,33024.0,0.09647369384765625,0.08387889053567647,-0.00442299959790915,240.0
2022-08-19,GFGC250.OC,250.0,Call,14.745,27159087.0,13.48,16.89,12.5,14.646,18168.0,0.21678924560546875,0.06243912767308913,0.0067595247849241424,250.0
2022-08-19,GFGC260.OC,260.0,Call,10.781,26707263.0,10.64,12.0,9.08,10.565,24774.0,0.25379180908203125,0.04565318653398264,0.020444865120681666,260.0
2022-08-19,GFGC270.OC,270.0,Call,8.05,8120913.0,7.186,8.8,6.701,7.697,10039.0,0.28507232666015625,0.03408850307008258,0.045862024165259196,270.0
2022-08-19,GFGC280.OC,280.0,Call,5.596,11193554.0,5.8,6.5,4.602,5.662,19422.0,0.29743194580078125,0.023696802879525726,-0.011656658424584965,280.0
2022-08-19,GFGC290.OC,290.0,Call,4.082,2539532.0,3.571,5.1,3.447,3.973,6157.0,0.31589508056640625,0.0172856235443574,0.027435187515731263,290.0
2022-08-19,GFGC300.OC,300.0,Call,2.972,3973053.0,2.809,3.9,2.57,2.976,13228.0,0.33138275146484375,0.012585221257675206,-0.0013440860215053752,300.0
2022-08-19,GFGC310.OC,310.0,Call,2.271,1987776.0,1.954,3.0,1.81,2.136,8172.0,0.34984588623046875,0.009616769002752486,0.0632022471910112,310.0
2022-08-19,GFGC320.OC,320.0,Call,1.646,457430.0,1.65,1.96,1.28,1.617,2764.0,0.36083221435546875,0.006970146093584585,0.017934446505875057,320.0
2022-08-19,GFGC330.OC,330.0,Call,1.292,343685.0,1.3,1.55,1.15,1.387,2659.0,0.37754058837890625,0.005471098877831887,-0.06849315068493145,330.0
