Price,Close,High,Low,Open,Volume
Ticker,GGAL.BA,GGAL.BA,GGAL.BA,GGAL.BA,GGAL.BA
Date,,,,,
2000-07-26,1.262770175933838,1.2773686609944177,1.240872448342968,1.262770175933838,422242
2000-07-27,1.277368426322937,1.2846676675122484,1.2627699439443143,1.277368426322937,344044
2000-07-28,1.255470633506775,1.2700691150801864,1.2481713927200693,1.255470633506775,561980
2000-07-31,1.277368426322937,1.2846676675122484,1.2335729791870693,1.277368426322937,381111
2000-08-01,1.2846676111221313,1.3576601068250782,1.233572925039739,1.2846676111221313,1968000
2000-08-02,1.2992663383483887,1.3065655805964491,1.284667853852268,1.2992663383483887,857294
2000-08-03,1.255470633506775,1.2992660782270091,1.255470633506775,1.255470633506775,698377
2000-08-04,1.255470633506775,1.277368355866892,1.2481713927200693,1.255470633506775,532284
2000-08-07,1.2700691223144531,1.2700691223144531,1.2408721590013256,1.2700691223144531,373483
2000-08-08,1.277368426322937,1.277368426322937,1.2554707027550032,1.277368426322937,760704
2000-08-09,1.233573079109192,1.2700692880120212,1.233573079109192,1.233573079109192,408886
2000-08-10,1.2116751670837402,1.2481714599982847,1.1824782023631595,1.2116751670837402,618112
2000-08-11,1.1751788854599,1.2116750890089785,1.1605804040402685,1.1751788854599,1544000
2000-08-14,1.1751788854599,1.1751788854599,1.1751788854599,1.1751788854599,0
2000-08-15,1.094887375831604,1.1313835868871251,1.094887375831604,1.094887375831604,922976
2000-08-16,1.094887375831604,1.094887375831604,1.094887375831604,1.094887375831604,0
2000-08-17,1.1313832998275757,1.153281107918711,1.0656901365955962,1.1313832998275757,1730000
2000-08-18,1.1094855070114136,1.1094855070114136,1.0948870272371272,1.1094855070114136,519120
2000-08-21,1.1094855070114136,1.1094855070114136,1.1094855070114136,1.1094855070114136,0
2000-08-22,1.145982027053833,1.1605805098038224,1.0948872504150495,1.145982027053833,720588
2000-08-23,1.1751788854599,1.1824781261697157,1.124084113477377,1.1751788854599,875470
2000-08-24,1.1751788854599,1.1751788854599,1.1751788854599,1.1751788854599,0
2000-08-25,1.2043757438659668,1.2116749839428547,1.189777263712191,1.2043757438659668,412516
2000-08-28,1.2043757438659668,1.2116749839428547,1.189777263712191,1.2043757438659668,114653
2000-08-29,1.2043757438659668,1.2043757438659668,1.197076503789079,1.2043757438659668,258093
2000-08-30,1.2262738943099976,1.2262738943099976,1.1897776811216008,1.2262738943099976,567852
2000-08-31,1.2846676111221313,1.306565333728871,1.2189743562880977,1.2846676111221313,2394000
2000-09-01,1.2846676111221313,1.3138645745977842,1.2846676111221313,1.2846676111221313,1455000
2000-09-04,1.2846676111221313,1.2846676111221313,1.2554706476464785,1.2846676111221313,322047
2000-09-05,1.277368426322937,1.2846676675122484,1.2700691851336257,1.277368426322937,409153
2000-09-06,1.2700691223144531,1.284667603971017,1.2627698814861712,1.2700691223144531,498225
2000-09-07,1.233573079109192,1.2700692880120212,1.2189745085342345,1.233573079109192,1710000
2000-09-08,1.2116751670837402,1.2262736494440307,1.2116751670837402,1.2116751670837402,418823
2000-09-11,1.2189743518829346,1.233572920581819,1.2116751110403996,1.2189743518829346,177300
2000-09-12,1.2116751670837402,1.2189744082638854,1.204375925903595,1.2116751670837402,272928
2000-09-13,1.2043757438659668,1.2116749839428547,1.1824780236353032,1.2043757438659668,238128
2000-09-14,1.2043757438659668,1.2189742240197425,1.189777263712191,1.2043757438659668,105621
2000-09-15,1.2043757438659668,1.2043757438659668,1.197076503789079,1.2043757438659668,297501
2000-09-18,1.1897774934768677,1.1970767349633535,1.1897774934768677,1.1897774934768677,960675
2000-09-19,1.1605805158615112,1.1897774815138844,1.1459820330353248,1.1605805158615112,1993000
2000-09-20,1.1240843534469604,1.145982167264967,1.1167851111789022,1.1240843534469604,2016000
2000-09-21,1.1240843534469604,1.131383595715019,1.1094858689108438,1.1240843534469604,1044000
2000-09-22,1.1094855070114136,1.1313832266728434,1.0875877873499837,1.1094855070114136,1339000
2000-09-25,1.1313832998275757,1.1313832998275757,1.1021863383911403,1.1313832998275757,1303000
2000-09-26,1.116784930229187,1.1313834123999502,1.1094856891438054,1.116784930229187,709029
2000-09-27,1.116784930229187,1.116784930229187,1.116784930229187,1.116784930229187,0
2000-09-28,1.102186679840088,1.1094859224604459,1.080288951979014,1.102186679840088,930321
2000-09-29,1.1094855070114136,1.1094855070114136,1.0948870272371272,1.1094855070114136,385959
2000-10-02,1.102186679840088,1.116785165080804,1.087588194599372,1.102186679840088,176725
2000-10-03,1.0802887678146362,1.1094857333186576,1.072989526438631,1.0802887678146362,540005
2000-10-04,1.0875879526138306,1.0875879526138306,1.0729894706212395,1.0875879526138306,307891
2000-10-05,1.0875879526138306,1.0875879526138306,1.0875879526138306,1.0875879526138306,0
2000-10-06,1.0437926054000854,1.0729896615956778,1.0218948785137651,1.0437926054000854,1671000
2000-10-09,1.0145955085754395,1.0218947499525863,0.9999970258211458,1.0145955085754395,1296000
