time,open,high,low,close,Volume
2012-01-03T14:00:00Z,2.88776904,2.90754828,2.87787942,2.88776904,752206.8593131
2012-01-03T14:30:00Z,2.88776904,2.93721714,2.88776904,2.90754828,689743.38751135
2012-01-03T15:00:00Z,2.90754828,2.92732752,2.90754828,2.9174379,997323.45631076
2012-01-03T15:30:00Z,2.92732752,2.92732752,2.9174379,2.9174379,757169.63846943
2012-01-03T16:00:00Z,2.9174379,2.94710676,2.9174379,2.94710676,804344.35296806
2012-01-03T16:30:00Z,2.95699638,3.02622372,2.95699638,2.98666524,2665591.80231394
2012-01-03T17:00:00Z,2.98666524,2.99655486,2.98666524,2.99655486,480312.69148865
2012-01-03T17:30:00Z,2.99655486,2.99655486,2.95699638,2.98666524,625169.62229085
2012-01-03T18:00:00Z,2.98666524,3.00644448,2.98666524,3.00644448,403197.49393809
2012-01-03T18:30:00Z,3.00644448,3.03611334,3.00644448,3.02622372,1773618.19766584
2012-01-03T19:00:00Z,3.02622372,3.04600296,3.02622372,3.03611334,713257.94115446
2012-01-03T19:30:00Z,3.03611334,3.0657822,3.03611334,3.04600296,1353055.02132539
2012-01-04T14:00:00Z,3.05589258,3.0657822,3.03611334,3.0657822,227649.79847557
2012-01-04T14:30:00Z,3.0657822,3.20423688,3.0657822,3.20423688,2135288.31239219
2012-01-04T15:00:00Z,3.20423688,3.24379536,3.20423688,3.24379536,2370034.44015038
2012-01-04T15:30:00Z,3.24379536,3.2635746,3.23390574,3.2635746,721890.22429578
2012-01-04T16:00:00Z,3.25368498,3.3130227,3.25368498,3.30313308,1454653.46494608
2012-01-04T16:30:00Z,3.30313308,3.33280194,3.30313308,3.3130227,923938.43241702
2012-01-04T17:00:00Z,3.30313308,3.3130227,3.27346422,3.30313308,425271.14287505
2012-01-04T17:30:00Z,3.30313308,3.32291232,3.29324346,3.32291232,224510.14295797
2012-01-04T18:00:00Z,3.32291232,3.32291232,3.3130227,3.3130227,379962.02078543
2012-01-04T18:30:00Z,3.32291232,3.32291232,3.30313308,3.3130227,458432.17434037
2012-01-04T19:00:00Z,3.32291232,3.34269156,3.32291232,3.34269156,563418.00797199
2012-01-04T19:30:00Z,3.35258118,3.38225004,3.35258118,3.38225004,1043301.96711299
2012-01-05T14:00:00Z,3.40202928,3.40202928,3.32291232,3.38225004,469143.40490332
2012-01-05T14:30:00Z,3.38225004,3.38225004,3.29324346,3.3624708,778501.09508758
2012-01-05T15:00:00Z,3.37236042,3.40202928,3.35258118,3.40202928,356555.66139043
2012-01-05T15:30:00Z,3.40202928,3.42180852,3.39213966,3.40202928,365014.02480581
2012-01-05T16:00:00Z,3.40202928,3.40202928,3.39213966,3.40202928,176516.38788952
2012-01-05T16:30:00Z,3.39213966,3.40202928,3.39213966,3.40202928,183720.91142026
2012-01-05T17:00:00Z,3.40202928,3.40202928,3.39213966,3.39213966,163909.23008164
2012-01-05T17:30:00Z,3.40202928,3.4119189,3.40202928,3.4119189,241445.07069028
2012-01-05T18:00:00Z,3.4119189,3.42180852,3.40202928,3.42180852,199204.82283445
2012-01-05T18:30:00Z,3.42180852,3.461367,3.42180852,3.43169814,609523.92508509
2012-01-05T19:00:00Z,3.42180852,3.45147738,3.42180852,3.43169814,280345.45311144
2012-01-05T19:30:00Z,3.43169814,3.43169814,3.38225004,3.4119189,464314.09902504
2012-01-06T14:00:00Z,3.45147738,3.54048396,3.45147738,3.54048396,508811.25867324
2012-01-06T14:30:00Z,3.53059434,3.53059434,3.461367,3.461367,629622.77620374
2012-01-06T15:00:00Z,3.45147738,3.461367,3.43169814,3.45147738,434841.78360746
2012-01-06T15:30:00Z,3.45147738,3.47125662,3.45147738,3.47125662,166066.03691547
2012-01-06T16:00:00Z,3.461367,3.50092548,3.45147738,3.50092548,474237.6350153
2012-01-06T16:30:00Z,3.50092548,3.5108151,3.49103586,3.5108151,305070.36670772
2012-01-06T17:00:00Z,3.5108151,3.53059434,3.50092548,3.52070472,397837.32843122
2012-01-06T17:30:00Z,3.5108151,3.52070472,3.50092548,3.50092548,183572.27072425
2012-01-06T18:00:00Z,3.50092548,3.53059434,3.50092548,3.53059434,858839.87453512
2012-01-06T18:30:00Z,3.53059434,3.55037358,3.53059434,3.54048396,374014.37062294
2012-01-06T19:00:00Z,3.54048396,3.5602632,3.52070472,3.54048396,422856.48993591
2012-01-06T19:30:00Z,3.55037358,3.5602632,3.54048396,3.54048396,530307.53456655
2012-01-09T14:00:00Z,3.57015282,3.63938016,3.57015282,3.6097113,402744.4937217
2012-01-09T14:30:00Z,3.6097113,3.6097113,3.5602632,3.57015282,500422.66538047
2012-01-09T15:00:00Z,3.5602632,3.5602632,3.52070472,3.5602632,585786.91597857
2012-01-09T15:30:00Z,3.5602632,3.57015282,3.55037358,3.55037358,379064.10964223
2012-01-09T16:00:00Z,3.55037358,3.55037358,3.5108151,3.52070472,287742.09726966
2012-01-09T16:30:00Z,3.52070472,3.52070472,3.47125662,3.50092548,265861.58012138
2012-01-09T17:00:00Z,3.50092548,3.5108151,3.49103586,3.50092548,66628.44477341
