Horizon,Best_ML,Best_ML_MSE,Best_HAR,Best_HAR_MSE,ML_Improvement
1d,Ridge,9.652518029473894e-05,HAR-RBV-IV,9.770803930715819e-05,1.2106056173134092
5d,LGB,4.1787380180173426e-05,HAR-RBV-IV,4.3254300759637806e-05,3.391386645263302
22d,BayesRidge,2.164279117931951e-05,HAR-RV-IV,2.205375316747007e-05,1.8634560069201354
