Strategy,Trades,Total_PnL,Total_Return
CALL,9,26075.42858751435,5.661701245522027
PUT,8,47704.99230089263,10.60958509997516
STRADDLE,13,60429.96061370813,13.660476172640855
STRANGLE,20,94752.66607713683,18.43629706482068
