Date,OPEX,Action,Position,Call_Strike,Put_Strike,Call_Price,Put_Price,Stock,Net_Delta,Combined_Gamma,Hedge,Cash,Option_PnL,Hedge_PnL,Financing_PnL,Commission,Net_PnL
2025-02-21,2025-04,ENTER,SHORT,7578.3,6778.3,520.0,240.0,7150.0,-0.22369685902397318,0.000518489747662016,2237,-8394550.0,0.0,0.0,0.0,24876.702749999997,-24876.702749999997
2025-03-10,2025-04,ROLL_CLOSE (Put went ITM (stock 6620 < put strike 6778)),SHORT,7578.3,6778.3,261.0,390.0,6620.0,-0.13590173751793239,0.0005701438386291217,0,-248107.18957307562,1090000.0,-1306440.0,-31667.18957307653,71299.1218,-319406.3113730765
2025-03-10,2025-04,ROLL_OPEN,SHORT,6978.3,6378.3,460.0,206.0,6620.0,-0.13932621719261246,0.0005708092950559086,1393,-2809767.1895730756,1090000.0,-1306440.0,-31667.18957307653,90198.2261,-338305.4156730765
2025-03-12,2025-04,ROLL_CLOSE (Call went ITM (stock 7110 > call strike 6978)),SHORT,6978.3,6378.3,670.0,123.0,7110.0,0.43391711670481825,0.0005205551230539792,0,-663637.2197415587,-180000.0,-445790.0,-37847.219741560104,115590.26125,-779227.48099156
2025-03-12,2025-04,ROLL_OPEN,SHORT,7378.3,6778.3,470.0,241.0,7110.0,-0.20257545022770207,0.0006008230536191752,2026,-7958497.219741559,-180000.0,-445790.0,-37847.219741560104,138525.20155,-802162.42129156
2025-03-14,2025-04,ROLL_CLOSE (Call went ITM (stock 7380 > call strike 7378)),SHORT,7378.3,6778.3,565.0,162.001,7380.0,0.3814641968126409,0.0005893807272486016,0,-348723.47854833305,-340010.00000000006,40780.0,-49493.4785483341,162074.5367,-510798.01524833415
2025-03-14,2025-04,ROLL_OPEN,SHORT,7778.3,6978.3,398.0,233.0,7380.0,-0.18783590577985015,0.0006150953697945138,1878,-7898363.478548333,-340010.00000000006,40780.0,-49493.4785483341,183079.6189,-531803.0974483341
2025-04-04,2025-04,ROLL_CLOSE (Put went ITM (stock 6440 < put strike 6978)),SHORT,7778.3,6978.3,31.6,599.0,6440.0,-0.6262719985201947,0.0006253435271504767,0,-570872.0094761662,-336010.0000000003,-98740.0,-136122.00947616933,267003.3319,-837875.3413761696
2025-04-04,2025-04,ROLL_OPEN,SHORT,6778.3,6178.3,197.292,130.0,6440.0,-0.06162061940555791,0.000982465904375155,616,-1264992.0094761658,-336010.0000000003,-98740.0,-136122.00947616933,275949.23110000003,-846821.2405761697
2025-04-07,2025-04,ROLL_CLOSE (Put went ITM (stock 6160 < put strike 6178)),SHORT,6778.3,6178.3,135.91,220.01,6160.0,-0.20187951129652681,0.0009133663545621415,0,-1032439.252017742,-622290.0000000002,-271220.0,-138929.25201774656,285363.3399000001,-1317802.591917747
2025-04-07,2025-04,ROLL_OPEN,SHORT,6378.3,5778.3,230.0,69.0,6160.0,-0.16907170025552593,0.0009876609784949075,1691,-8458999.252017742,-622290.0000000002,-271220.0,-138929.25201774656,297645.3587000001,-1330084.610717747
2025-04-08,2025-04,ROLL_CLOSE (Near expiry (7 days left)),SHORT,6378.3,5778.3,225.0,65.01,6240.0,0.2616285399891175,0.0010623394520931273,0,-813866.5415704828,-532390.0000000002,-135940.0,-145536.541570487,309829.42190000013,-1123695.9634704874
2025-04-16,2025-06,ENTER,SHORT,7400.0,6800.0,610.0,339.0,7070.0,-0.32000397362505706,0.0005326602519077274,3200,-13134000.0,0.0,0.0,0.0,32667.519999999997,-32667.519999999997
2025-04-23,2025-06,ROLL_CLOSE (Call went ITM (stock 7580 > call strike 7400)),SHORT,7400.0,6800.0,805.0,234.0,7580.0,0.5086359096247774,0.0004580855229279874,0,71498.22361968085,-900000.0,1046280.0,-74781.77638031551,89745.99539999999,-18247.771780315496
