Date,OPEX,Action,Position,Call_Strike,Put_Strike,Call_Price,Put_Price,Stock,Net_Delta,Combined_Gamma,Hedge,Cash,Option_PnL,Hedge_PnL,Financing_PnL,Commission,Net_PnL
2025-04-25,2025-06,ENTER,SHORT,8000.0,7200.0,474.0,322.0,7610.0,-0.2847471303501533,0.0005853913585998702,2847,-13634171.77638032,-900000.0,1046280.0,-74781.77638031551,118773.72574999998,-47275.50213031549
2025-04-30,2025-06,ROLL_CLOSE (Put went ITM (stock 7190 < put strike 7200)),SHORT,8000.0,7200.0,305.0,361.666,7190.0,0.018092850774695024,0.0006288262804972186,0,523134.86626903247,393340.0,242020.0,-112225.13373096463,144728.19879999998,378406.66746903537
2025-04-30,2025-06,ROLL_OPEN,SHORT,7600.0,6800.0,450.0,217.0,7190.0,-0.2575382403996228,0.0005942902852356432,2575,-11321115.133730967,393340.0,242020.0,-112225.13373096463,169269.32004999998,353865.5462190354
2025-06-18,2025-06,CLOSE_OPEX_END,SHORT,7600.0,6800.0,0.0,460.0,6340.0,0.0,0.0,0,6416431.518521258,2463340.0,-694750.0,47841.518521260674,197105.86105,1619325.6574712608
2025-06-19,2025-08,ENTER,SHORT,6745.2,5945.2,385.0,145.3,6370.0,-0.2822088966348332,0.0006653290554011088,2822,-12673140.0,0.0,0.0,0.0,21481.5647,-21481.5647
2025-08-13,2025-08,CLOSE_OPEX_END,SHORT,6745.2,5945.2,84.80000000000018,0.0,6830.0,0.0,0.0,0,4677622.130840303,4454999.999999998,-394340.0,-231037.86915969846,55866.73110000001,3773755.3997402997
2025-08-14,2025-10,ENTER,SHORT,6778.5,6178.5,480.0,123.48,6450.0,-0.3618165251686376,0.0006626530781870715,3618,-17301300.0,0.0,0.0,0.0,26187.940499999997,-26187.940499999997
2025-08-19,2025-10,ROLL_CLOSE (Put went ITM (stock 6070 < put strike 6178)),SHORT,6778.5,6178.5,302.011,310.0,6070.0,0.07695601283560027,0.0007462854724469472,0,-1499788.339236632,-85310.00000000006,-1310670.0,-103808.33923662975,51753.54564999999,-1551541.8848866296
2025-08-19,2025-10,ROLL_OPEN,SHORT,6357.3,5657.3,487.0,141.0,6070.0,-0.3909292432372172,0.0006286233012603921,3909,-18947418.339236632,-85310.00000000006,-1310670.0,-103808.33923662975,78668.7618,-1578457.1010366296
2025-08-26,2025-10,ROLL_CLOSE (Put went ITM (stock 5650 < put strike 5657)),SHORT,6357.3,5657.3,345.0,251.0,5650.0,0.1254803203943075,0.0006735638004171576,0,-3002352.2464939896,234689.99999999994,-2939530.0,-297512.24649398704,108467.98195,-3110820.2284439867
2025-08-26,2025-10,ROLL_OPEN,SHORT,5957.3,5378.5,514.0,169.99,5650.0,-0.33867111064092126,0.0006173468261085854,3387,-15299002.24649399,234689.99999999994,-2939530.0,-297512.24649398704,133725.3947,-3136077.641193987
2025-08-28,2025-10,ROLL_CLOSE (Put went ITM (stock 5370 < put strike 5378)),SHORT,5957.3,5378.5,396.998,315.0,5370.0,0.14716390198034823,0.0006510972467042317,0,-4174472.6227470823,-45389.99999999988,-3802340.0,-326742.6227470788,159020.96740000002,-4333493.590147079
2025-08-28,2025-10,ROLL_OPEN,SHORT,5657.3,5057.3,528.0,189.5,5370.0,-0.33478565316371844,0.0005918698297613616,3348,-14978232.622747082,-45389.99999999988,-3802340.0,-326742.6227470788,184248.11720000004,-4358720.739947079
2025-10-16,2025-10,CLOSE_OPEX_END,SHORT,5657.3,5057.3,0.0,204.80000000000018,4852.5,0.0,0.0,0,-464691.3682952598,5081609.999999998,-6274490.0,-1319811.368295257,215417.38925000007,-2728108.757545259
2025-10-17,2025-12,ENTER,SHORT,5334.3,4755.8,470.0,328.0,4960.0,-0.3261176652508684,0.0006515015988025849,3261,-8194560.0,0.0,0.0,0.0,25745.6088,-25745.6088
2025-10-23,2025-12,ROLL_CLOSE (Call went ITM (stock 5420 > call strike 5334)),SHORT,5334.3,4755.8,806.0,310.0,5420.0,0.4341577936298564,0.0004257988362963313,0,-1593228.571825482,-3180000.0,1653575.0,-66803.57182548525,64620.722925,-1657849.294750485
2025-10-23,2025-12,ROLL_OPEN,SHORT,5655.8,5034.3,630.0,393.021,5420.0,-0.2965031434577843,0.0004849944542929575,2965,-7433318.571825482,-3180000.0,1653575.0,-66803.57182548525,94803.674425,-1688032.2462504853
2025-10-27,2025-12,ROLL_CLOSE (Gamma decay (0.000000 < 0.000304)),SHORT,5655.8,5034.3,1589.0,13.4,7090.0,1.0,0.0,0,-720973.4508564249,-8973790.0,8377665.0,-124848.4508564277,148371.820875,-869345.2717314276
2025-10-27,2025-12,ROLL_OPEN,LONG,7400.0,6713.1,464.0,278.989,7090.0,0.3978862903710759,0.0006677378486716942,-3979,20060246.549143575,-8973790.0,8377665.0,-124848.4508564277,180299.322425,-901272.7732814277
2025-10-28,2025-12,ROLL_CLOSE (Call went ITM (stock 7660 > call strike 7400)),LONG,7400.0,6713.1,780.0,164.999,7660.0,0.8930128930602375,0.0003100730791479278,0,-942522.852654811,-6953690.0,6109635.0,-98467.85265481424,217639.182125,-1160162.0347798143
2025-10-28,2025-12,ROLL_OPEN,SHORT,7934.3,7400.0,590.0,453.46,7660.0,-0.3876476933615354,0.0005955840536338024,3876,-20198082.85265481,-6953690.0,6109635.0,-98467.85265481424,256470.92892500001,-1198993.7815798144
2025-10-30,2025-12,ROLL_CLOSE (Call went ITM (stock 8005 > call strike 7934)),SHORT,7934.3,7400.0,840.0,340.0,8005.0,0.446152435583962,0.00044599255840952883,0,-1001727.2470376194,-8319090.0,7459045.0,-141682.24703762334,299861.84017499996,-1301589.0872126233
2025-10-30,2025-12,ROLL_OPEN,SHORT,8300.0,7600.0,694.0,420.0,8005.0,-0.29876966245368486,0.0004570022243735372,2988,-13780667.24703762,-8319090.0,7459045.0,-141682.24703762334,336612.798875,-1338340.0459126234
2025-10-31,2025-12,ROLL_CLOSE (Call went ITM (stock 8845 > call strike 8300)),SHORT,8300.0,7600.0,1125.0,263.0,8845.0,0.6335320113151699,0.0003341515613480804,0,-1243133.8228571042,-11059090.0,9968965.0,-153008.8228571063,380362.25917499996,-1623496.0820321064
2025-10-31,2025-12,ROLL_OPEN,SHORT,9413.1,8300.0,595.0,513.998,8845.0,-0.2276555448696409,0.0004283463796578477,2277,-10293218.822857104,-11059090.0,9968965.0,-153008.8228571063,414726.95849999995,-1657860.7813571063
2025-12-18,2025-12,CLOSE_OPEX_END,SHORT,9413.1,8300.0,0.0,0.0,8320.0,0.0,0.0,0,8419254.397735838,30890.0,8710055.0,-321690.6022641608,440642.5176749999,7978611.8800608395
