Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Gross_PnL,Financing_PnL,Commission,Total_PnL,Net_Return
LONG_STOCK,2025-02-21,2025-12-18,7150.0,8320.0,117000.0,-228496.7189714031,865.15,-112361.8689714031,-15.714946709287148
SHORT_STOCK,2025-02-21,2025-12-18,7150.0,8320.0,-117000.0,228496.7189714031,865.15,110631.56897140312,15.47294670928715
