Date,OPEX,Action,Position,Strike,Option_Price,Stock,Delta,Gamma,ATM_Gamma,Hedge,Cash,Option_PnL,Hedge_PnL,Financing_PnL,Commission,Net_PnL
2025-02-21,2025-04,ENTER,SHORT,7178.3,408.999,7150.0,-0.38487125147446843,0.0002832514727276952,0.00028547749669949926,-115,944949.7,0.0,0.0,0.0,742.86065,-742.86065
2025-02-24,2025-04,REBALANCE,SHORT,7178.3,423.0,7070.0,-0.4191334724804242,0.00031533242696152357,0.00029266627566891594,-126,1024739.0445643836,0.0,9200.0,2019.3445643835616,789.9114999999999,10429.433064383562
2025-02-25,2025-04,REBALANCE,SHORT,7178.3,456.0,6990.0,-0.4496294374223522,0.00032903921693295586,0.00030221755465057316,-135,1088350.9206223045,0.0,19280.0,2721.2206223043722,827.97205,21173.248572304372
2025-02-26,2025-04,REBALANCE,SHORT,7178.3,405.0,7140.0,-0.39066818649077983,0.0002929366913701992,0.0002948335927118652,-117,960725.4556255557,0.0,-970.0,3615.7556255555814,905.72665,1740.0289755555814
2025-02-27,2025-04,REBALANCE,SHORT,7178.3,550.0,6820.0,-0.4870916569276763,0.0003142565112868927,0.00031018397928922616,-146,1159321.4142317036,0.0,36470.0,4431.714231703314,1025.38355,39876.330681703315
2025-02-28,2025-04,REBALANCE,SHORT,7178.3,492.0,6930.0,-0.4644664955497382,0.0003231860072380507,0.00029474668487578345,-139,1111700.7566864567,0.0,20410.0,5321.056686456402,1054.7321,24676.3245864564
2025-03-05,2025-04,REBALANCE,SHORT,7178.3,363.001,7180.0,-0.3871813467033628,0.00031905041716486713,0.0002856535015337971,-116,951130.9128108623,0.0,-14340.0,9891.212810861958,1154.6417999999999,-5603.428989138041
2025-03-06,2025-04,REBALANCE,SHORT,7178.3,455.0,7070.0,-0.42081004387477094,0.000297657164945978,0.0002928067468563664,-126,1022664.7810083951,0.0,-1580.0,10725.081008394769,1197.4153,7947.665708394769
2025-03-07,2025-04,REBALANCE,SHORT,7178.3,442.109,7040.0,-0.45229254516490647,0.00034205309134190137,0.0003094209119374091,-136,1093737.2181246746,0.0,2200.0,11397.518124674261,1240.0073,12357.510824674262
2025-03-10,2025-04,REBALANCE,SHORT,7178.3,644.0,6620.0,-0.6161499401513204,0.0003748923091293875,0.0003392618813698245,-185,1420274.7271576878,0.0,59320.0,13555.027157687318,1436.2572,71438.76995768733
2025-03-11,2025-04,REBALANCE,SHORT,7178.3,630.0,6690.0,-0.5790085203229871,0.0003544782268297002,0.00033180540100725026,-174,1347657.5180666998,0.0,46370.0,14527.818066699434,1480.77915,59417.03891669943
2025-03-12,2025-04,REBALANCE,SHORT,7178.3,413.0,7110.0,-0.4286456341984284,0.0003349137766124882,0.0003216536031731255,-129,1028722.8764707227,0.0,-26710.0,15543.17647072229,1674.3489,-12841.17242927771
2025-03-13,2025-04,REBALANCE,SHORT,7178.3,414.0,7070.0,-0.44083904568650745,0.000349242476441228,0.00033676059943557954,-132,1050750.21793422,0.0,-21550.0,16360.517934219577,1687.18095,-6876.663015780423
