Strategy,Trades,Total_PnL,Total_Return
STRANGLE,20,94752.66607713683,18.43629706482068
SHORT_STOCK,1,110631.56897140312,15.47294670928715
STRADDLE,13,60429.96061370813,13.660476172640855
PUT,8,47704.99230089263,10.60958509997516
CALL,9,26075.42858751435,5.661701245522027
LONG_STOCK,1,-112361.8689714031,-15.714946709287148
