Period,N_Days,Start_Date,End_Date,RV_Mean,RV_Std,RV_Min,RV_Max,RV_Median,RV_Skew,RV_Kurt,IV_Mean,IV_Std,IV_Min,IV_Max,IV_Median,IV_Skew,IV_Kurt,VRP_Mean,VRP_Std,VRP_Min,VRP_Max,VRP_Median,Correlation_RV_IV,IV_Over_RV_Mean,Days_IV_GT_RV,Days_IV_LT_RV,Pct_IV_GT_RV,RV_Annual_Mean,IV_Annual_Mean
Full Period,1076,2021-07-19,2025-12-18,2.4828867493207083,0.993871180555058,0.7826094653935992,9.658424947636304,2.295839781291875,2.109278349212333,8.096949136483147,3.0257083873037,0.9822556458651795,1.2320352256255516,10.1553393119853,2.881297125815637,1.6989175090306292,6.533732760985055,0.5428216379829917,1.0761052780160092,-5.200250091580333,7.753433600535574,0.5884650929622259,0.4069732376126504,1.3217760556860765,802,274,74.53531598513011,39.41460523344099,48.03163159564736
Test Period (Backtest),197,2025-02-25,2025-12-18,2.561140630022987,1.0711557648264636,0.8302712879197465,8.487685823240538,2.338835168581197,1.9752071056212264,6.4526281471430575,3.113566973536085,0.7314828587889493,1.6087493316971944,6.024164437528176,2.9768777794127823,1.0565682011035786,1.4979675584217995,0.5524263435130986,0.8722357394449538,-2.88487071944048,2.8314363372238085,0.6744328858654991,0.5881358800311919,1.3370998576419157,156,41,79.18781725888326,40.65684707822466,49.42634341392305
