Model,Return_Type,Log_Likelihood,AIC,BIC,Persistence,Annual_Vol_%
ARCH(1),Simple,-2459.962690802464,4923.925381604928,4933.6256339372185,0.1842189882337853,52.97669929959106
ARCH(1),Log,-2451.044862674274,4906.089725348548,4915.789977680839,0.17552218104558445,52.37779420051701
"GARCH(1,1)",Simple,-2445.159417214769,4896.318834429538,4910.869212927974,0.9394053186403646,53.287709299339156
"GARCH(1,1)",Log,-2435.939506807312,4877.879013614624,4892.42939211306,0.9464441743206122,52.54395541103742
